name,id
"Schauinsland Reisen Schweiz",948efd24-2855-39e7-a51f-dd3be5a7a963
"Schauinsland Reisen SLRD",affc727c-6827-37e5-851d-d8852b31530d
Sitalia,0c70e6a7-cbc6-37f4-9271-c01d4476e916
SnowTrex,26295772-4c8f-3e41-a65e-7a5bb61bb2cd
"SWISS Holidays",e7b7dd97-cbd5-3fe5-a439-b8ebca9d09f4
"Thomas Cook",85c35da8-84ae-352e-a368-084dd5cad2e0
"Thomas Cook TOR",cce5cee6-836f-36a6-99a3-97c48b6bc991
"Thomas Cook XTOC",9fef30b1-16e0-3155-b912-e4bac05faee8
TIP-Neckermann,23e052de-5627-39ca-a353-b11bd168150d
"Tischler Reisen",4b5015bb-6f58-3d0f-9eac-a05a6ac66ab1
TRAVELiX,23e202df-7a27-344b-acb5-e5dccf80780a
tropo,d21cbd11-02df-3ac2-ba7c-ba5f6c7d43c1
TUI,fd6f74dc-4ed7-3ebc-8d2f-c76ea2db9543
"TUI Suisse",bc99f398-42f6-387d-8eb6-d21d1adb854f
vtours,7a94dbda-1a7b-3421-b1e0-a1b9abdf4cd0
"Windrose Finest Travel",a245944a-9973-3c1f-9d1d-ee84154ca767
"X L'TUR",fb643564-9ba8-3c60-b37c-db8819e4ee7d
"X-Anex Tour",a0d55118-78c9-361c-8958-d4306cf3fee2
XÖGER,cdf78e90-2af9-3a3f-914c-c7dfb99791b8
"XPUR Reisen",900d7a18-2b62-3d08-b547-a148dadb47b1
XTUI,68ba5f23-4bcb-38ce-9b6b-b8850134b4cc
